Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
Aardvark,cub,sow,boar,,orycteropodian,
Albatross,chick,,,flock  rookery  gam (when searching for mates),diomedeid,
Alligator,hatchling,cow,bull,congregation,eusuchian,
Alpaca,cria,hembra,macho,herd,camelid,
Ant,larva pupa,queen (fertile) worker soldier,drone,army  bike  colony   nest  swarm,formic myrmicine,
Anteater,pup,sow,boar,,?,
Antelope,calf,doe,buck,herd   cluster   tribe,alcelaphine bubaline antilopine,
Ape,baby child infant,,,group family band shrewdness     troop,simian,
Armadillo,pup baby,sow,boar,,cingulatan,
Ass/donkey,foal,jenny,jack,herd  coffle   drove    pace,asinine,
Baboon,infant,babuina,?,flange   congress    troop,?,
Badger,cub kit,sow,boar,cete     colony,musteline,
Barracuda,,,,school,percesocine,
Bat,pup,,,cloud   colony   flock,pteropine noctillionine,
Bear,cub,sow she-bear,boar,sleuth    sloth,ursine,
Beaver,kit kitten pup,,,family  colony,castoridine,
Bee,larva pupa,queen worker,drone,cast (a second swarm)  cluster (of workers around the queen)  colony  drift   erst   grist   hive    nest  rabble  stand  swarm,apic apian apiarian,
Binturong,cub,?,?,?,?,
Bird  (Also see Aves),chick,hen,cock,flock  flight  pod,avian,
Bison,calf,cow,bull,herd,bovine bubaline,
Bluebird,?,?,?,?,?,
Boar (wild pig) (Also see Pig),piglet farrow shoat/shote (just weaned),sow,?,herd   singular   Groups of 12 or more sounder,?,
Bobcat,bobkitten,?,?,?,feline,
Buffalo,calf,"cow, heifer",bull,herd    troop  gang    obstinancy,bovine,
Butterfly,caterpillar larva pupa chrysalis,?,?,flight  flutter   rabble  swarm,pieridine pierine lepidopteran,
Camel,calf,cow,bull,caravan  flock  herd train,camelid cameline,
Capybara,pup,?,?,?,?,
Caracal,kitten,?,?,?,feline,
Caribou,calf,doe,buck,herd,rangiferine,
Cassowary,hatchling chick,?,?,,ratite,
Cat,kitten kit,molly queen pussy,tom king gib (castrated male),clowder   cluster  clutter  glaring   pounce  kindle (kittens)  litter (kittens) pillow (kittens),feline,
Caterpillar,?,?,?,army,?,
Cattle,calf,cow,bull,herd  drove  yoke (oxen) team (oxen),bovine  taurine (male) vaccine (female) vituline (young),beef veal
Chameleon,?,?,?,,?,
Chamois,calf,doe,bull,herd,rupicaprine,
Cheetah,cub,she-cheetah,cheetah,coalition (male),feline,
Chicken,chick,hen pullet,rooster cock cockerel capon (castrated male),flock brood  peep (chicks)  clutch (eggs),galline,poultry
Chimpanzee,infant,empress,emperor blackback,troop tribe,panine,
Chinchilla,kit,velvet sow,boar bull,?,chinchilline,
Chough,chick,?,?,chattering    clattering,corvine,
Coati,pup kit,sow,boar,troop,nasuine,
Cobra,?,?,?,quiver,elapid,
Cockroach,nymph,?,?,intrusion,blattid,
Cod,codling,?,?,school,gadoid gadine,
Cormorant,chick shaglet,?,?,gulp    flight,?,
Cougar,cub kitten,she-cougar,?,?,feline,
Coyote,pup puppy cub whelp,bitch,dog,pack,canine,
Crab,zoea,hen jenny,cock jimmy,?,cancrine,
Crane,chick colt,?,?,herd    sedge  sege  siege,alectorine,
Cricket,nymph,?,?,?,?,
Crocodile,hatchling,cow,bull,bask  congregation float,crocodilian,
Crow,?,?,?,murder,corvine,
